timestamp,device_id,device_type,latency_ms,packet_loss_percent,bandwidth_utilization,throughput_mbps,jitter_ms,cpu_usage_percent,memory_usage_percent,error_rate,interface_utilization,device_status,failure_type
2025-01-01T00:03:20+00:00,se-6,server,269.58,82.92,19.62,20.06,62.29,53.06,62.59,60.4,8.79,offline,link_failure
2025-01-01T00:03:25+00:00,se-1,server,22.44,1.0,55.51,269.32,5.17,56.38,67.15,0.48,62.16,healthy,normal
2025-01-01T00:03:30+00:00,cl-1,client,97.17,9.14,97.74,63.62,18.76,57.11,58.37,3.03,98.31,warning,congestion
2025-01-01T00:03:35+00:00,se-5,server,36.72,0.71,53.2,121.46,5.75,25.09,27.02,0.86,17.09,healthy,normal
2025-01-01T00:03:40+00:00,co-4,core_switch,36.86,0.93,29.21,214.18,1.39,57.65,44.46,0.23,34.18,healthy,normal
2025-01-01T00:03:45+00:00,cl-2,client,197.78,5.97,88.29,115.23,36.15,66.3,74.69,3.25,99.18,warning,congestion
2025-01-01T00:03:50+00:00,da-4,database,13.26,1.16,57.96,242.09,1.43,59.27,58.44,0.31,37.28,healthy,normal
2025-01-01T00:03:55+00:00,da-6,database,10.4,0.63,41.04,205.38,2.68,55.12,44.23,0.14,24.16,healthy,normal
2025-01-01T00:04:00+00:00,cl-5,client,174.31,15.04,96.17,100.43,33.47,66.92,53.6,2.47,99.08,warning,congestion
2025-01-01T00:04:05+00:00,se-4,server,34.02,0.85,49.4,184.01,3.37,29.63,45.45,0.32,28.43,healthy,normal
2025-01-01T00:04:10+00:00,da-5,database,27.79,0.77,26.98,163.1,2.91,39.98,34.57,0.43,52.02,healthy,normal
2025-01-01T00:04:15+00:00,ro-2,router,19.42,0.61,29.44,256.07,2.72,39.91,39.13,0.9,43.62,healthy,normal
2025-01-01T00:04:20+00:00,se-5,server,19.81,0.35,51.9,179.42,4.66,57.79,54.37,0.17,53.41,healthy,normal
2025-01-01T00:04:25+00:00,da-5,database,41.38,1.25,31.92,189.39,2.37,46.86,29.57,0.04,17.84,healthy,normal
2025-01-01T00:04:30+00:00,co-8,core_switch,13.28,0.02,31.36,215.32,2.57,58.45,35.11,0.78,20.93,healthy,normal
2025-01-01T00:04:35+00:00,se-2,server,28.46,1.03,25.13,288.45,5.74,18.83,34.92,0.5,36.64,healthy,normal
2025-01-01T00:04:40+00:00,da-4,database,197.48,8.56,98.44,78.66,27.3,60.87,62.47,1.36,99.44,warning,congestion
2025-01-01T00:04:45+00:00,co-4,core_switch,18.47,0.12,29.27,231.44,1.61,33.38,54.33,0.42,16.7,healthy,normal
2025-01-01T00:04:50+00:00,ac-8,access_switch,12.28,0.35,30.43,284.07,3.87,51.18,32.7,0.1,26.69,healthy,normal
2025-01-01T00:04:55+00:00,ac-3,access_switch,12.29,0.25,32.46,274.77,3.76,27.99,29.47,0.62,51.39,healthy,normal
2025-01-01T00:05:00+00:00,da-8,database,94.4,6.78,98.67,789.92,20.07,68.78,58.7,3.53,98.61,warning,traffic_spike
2025-01-01T00:05:05+00:00,ro-5,router,168.56,13.16,85.98,107.47,23.5,55.29,77.89,3.62,97.4,warning,congestion
2025-01-01T00:05:10+00:00,se-6,server,91.75,4.57,89.26,508.8,16.23,82.86,75.18,2.3,97.6,warning,traffic_spike
2025-01-01T00:05:15+00:00,ro-6,router,18.08,0.17,54.31,300.28,5.09,15.05,62.25,0.42,17.82,healthy,normal
2025-01-01T00:05:20+00:00,da-8,database,175.68,13.12,86.46,111.4,36.12,61.21,67.14,1.73,99.62,warning,congestion
2025-01-01T00:05:25+00:00,co-3,core_switch,130.06,4.16,89.94,69.21,33.88,49.2,76.09,4.89,88.16,warning,congestion
2025-01-01T00:05:30+00:00,ac-5,access_switch,92.39,5.86,93.67,653.83,10.89,73.72,72.78,3.86,91.37,warning,traffic_spike
2025-01-01T00:05:35+00:00,se-6,server,39.9,0.76,56.57,172.22,2.35,41.41,67.95,0.44,22.73,healthy,normal
2025-01-01T00:05:40+00:00,ac-6,access_switch,165.03,10.52,90.74,81.83,16.9,70.81,62.58,2.4,96.86,warning,congestion
2025-01-01T00:05:45+00:00,cl-8,client,32.57,1.22,36.15,256.01,5.07,59.14,45.79,0.03,41.12,healthy,normal
2025-01-01T00:05:50+00:00,ro-8,router,99.46,14.93,83.26,58.74,34.64,80.89,44.69,5.69,89.71,warning,congestion
2025-01-01T00:05:55+00:00,se-2,server,157.95,6.97,79.37,106.3,12.07,96.06,96.15,7.11,46.54,warning,device_overload
2025-01-01T00:06:00+00:00,cl-5,client,41.92,1.12,38.4,131.66,4.1,54.27,43.52,0.62,61.98,healthy,normal
2025-01-01T00:06:05+00:00,ro-5,router,21.47,0.65,29.48,200.65,4.35,23.1,31.7,0.55,34.89,healthy,normal
2025-01-01T00:06:10+00:00,se-3,server,86.7,5.47,63.38,145.02,21.38,92.51,88.6,4.83,48.18,warning,device_overload
2025-01-01T00:06:15+00:00,da-5,database,112.5,5.39,91.0,844.2,11.98,79.54,68.36,1.57,95.72,warning,traffic_spike
2025-01-01T00:06:20+00:00,cl-5,client,88.18,13.96,89.73,41.05,34.49,73.8,77.05,6.46,96.43,warning,congestion
2025-01-01T00:06:25+00:00,ac-4,access_switch,393.91,92.23,6.37,4.97,82.28,8.65,9.23,81.11,5.03,offline,device_failure
2025-01-01T00:06:30+00:00,cl-1,client,82.8,5.53,94.95,788.86,9.8,76.85,78.4,1.29,91.32,warning,traffic_spike
2025-01-01T00:06:35+00:00,ac-5,access_switch,205.42,7.08,97.02,102.64,32.97,72.62,54.19,1.69,99.48,warning,congestion
2025-01-01T00:06:40+00:00,co-7,core_switch,40.95,1.21,35.19,283.95,0.87,39.15,44.01,0.61,49.96,healthy,normal
2025-01-01T00:06:45+00:00,cl-6,client,100.71,6.81,83.43,154.95,26.6,78.86,49.97,1.38,97.53,warning,congestion
2025-01-01T00:06:50+00:00,ac-7,access_switch,65.5,2.36,88.45,918.0,10.32,75.04,70.43,2.25,93.71,warning,traffic_spike
2025-01-01T00:06:55+00:00,cl-7,client,107.86,7.81,98.62,750.91,24.67,86.47,85.68,1.76,96.9,warning,traffic_spike
2025-01-01T00:07:00+00:00,se-4,server,37.37,0.15,50.23,229.78,5.88,31.14,41.52,0.17,21.35,healthy,normal
2025-01-01T00:07:05+00:00,se-4,server,403.26,95.17,0.21,6.29,58.4,1.51,7.9,38.77,6.12,warning,device_failure
2025-01-01T00:07:10+00:00,co-4,core_switch,20.51,0.22,60.32,110.62,5.26,21.51,29.72,0.23,24.07,healthy,normal
2025-01-01T00:07:15+00:00,ro-3,router,61.71,6.53,54.52,98.71,9.79,86.73,95.87,4.68,77.06,warning,device_overload
2025-01-01T00:07:20+00:00,ac-2,access_switch,24.46,0.33,46.91,269.99,5.53,44.65,37.27,0.58,16.62,healthy,normal
2025-01-01T00:07:25+00:00,se-7,server,116.75,5.92,98.92,466.01,9.62,86.25,52.5,1.74,96.33,warning,traffic_spike
2025-01-01T00:07:30+00:00,ac-7,access_switch,229.22,10.37,90.71,118.71,14.58,70.97,72.7,4.91,96.77,warning,congestion
2025-01-01T00:07:35+00:00,co-4,core_switch,304.14,95.17,8.77,17.51,48.75,34.06,36.98,62.91,12.36,offline,link_failure
2025-01-01T00:07:40+00:00,ro-2,router,12.98,0.14,52.72,288.59,3.69,41.39,48.71,0.3,21.36,healthy,normal
2025-01-01T00:07:45+00:00,cl-7,client,37.78,1.08,63.51,242.09,2.63,41.01,33.36,0.59,26.66,healthy,normal
2025-01-01T00:07:50+00:00,da-6,database,13.68,0.42,28.63,204.4,3.72,49.53,51.36,0.61,43.95,healthy,normal
2025-01-01T00:07:55+00:00,cl-5,client,89.2,7.28,95.96,159.8,21.13,51.71,47.16,4.94,86.97,warning,congestion
2025-01-01T00:08:00+00:00,ro-4,router,292.86,84.7,3.46,7.48,49.46,62.36,53.02,59.75,2.8,warning,link_failure
2025-01-01T00:08:05+00:00,ro-5,router,312.93,83.87,13.36,9.94,42.93,43.06,41.22,24.99,12.21,offline,link_failure
2025-01-01T00:08:10+00:00,da-5,database,91.59,8.74,93.19,41.0,19.84,52.82,46.94,2.53,90.59,warning,congestion
2025-01-01T00:08:15+00:00,cl-7,client,15.62,0.57,51.07,220.06,5.13,51.28,27.17,0.78,17.2,healthy,normal
2025-01-01T00:08:20+00:00,ro-6,router,28.42,0.86,51.35,201.89,1.4,15.94,38.29,0.72,47.14,healthy,normal
2025-01-01T00:08:25+00:00,ac-2,access_switch,295.7,95.07,5.24,3.17,62.07,4.07,4.66,44.25,4.08,warning,device_failure
2025-01-01T00:08:30+00:00,da-4,database,38.99,0.52,52.19,290.17,5.04,25.63,30.44,0.18,46.32,healthy,normal
2025-01-01T00:08:35+00:00,cl-8,client,319.19,87.78,12.75,16.35,82.92,48.93,71.37,34.54,17.48,warning,link_failure
2025-01-01T00:08:40+00:00,se-2,server,25.01,0.95,55.43,240.11,2.63,18.34,44.32,0.03,34.17,healthy,normal
2025-01-01T00:08:45+00:00,cl-2,client,29.68,0.76,39.75,231.95,4.92,55.31,43.79,0.73,48.9,healthy,normal
2025-01-01T00:08:50+00:00,se-3,server,40.65,0.68,56.12,294.22,5.91,18.79,52.43,0.04,51.8,healthy,normal
2025-01-01T00:08:55+00:00,da-3,database,87.75,9.34,92.65,809.49,21.58,69.57,73.97,2.01,93.3,warning,traffic_spike
2025-01-01T00:09:00+00:00,se-5,server,121.54,14.22,99.39,118.35,15.91,48.02,65.89,6.5,90.34,warning,congestion
2025-01-01T00:09:05+00:00,cl-7,client,74.83,5.96,48.39,130.45,17.3,90.6,86.04,5.92,85.73,warning,device_overload
2025-01-01T00:09:10+00:00,da-2,database,113.14,5.39,92.34,607.67,11.61,74.43,86.01,2.69,92.27,warning,traffic_spike
2025-01-01T00:09:15+00:00,ro-5,router,37.02,0.15,54.23,293.73,5.4,16.7,38.82,0.69,21.81,healthy,normal
2025-01-01T00:09:20+00:00,co-3,core_switch,36.6,1.16,56.03,146.42,3.08,33.49,53.76,0.21,38.1,healthy,normal
2025-01-01T00:09:25+00:00,cl-8,client,17.49,0.36,63.38,282.56,5.5,23.73,53.85,0.51,37.91,healthy,normal
2025-01-01T00:09:30+00:00,se-7,server,469.88,94.87,17.63,3.32,45.0,48.85,66.08,44.95,1.85,offline,link_failure
2025-01-01T00:09:35+00:00,ro-3,router,303.65,98.86,1.47,3.5,97.05,2.66,6.32,54.23,0.21,warning,device_failure
2025-01-01T00:09:40+00:00,da-6,database,17.54,1.49,35.62,116.2,5.64,52.76,52.6,0.71,22.16,healthy,normal
2025-01-01T00:09:45+00:00,se-3,server,34.28,0.7,46.92,309.29,0.9,24.7,30.58,0.85,46.66,healthy,normal
2025-01-01T00:09:50+00:00,ac-4,access_switch,19.64,0.07,37.73,284.66,3.18,19.99,63.83,0.54,15.85,healthy,normal
2025-01-01T00:09:55+00:00,co-3,core_switch,127.23,4.02,89.0,114.19,16.87,69.72,60.85,3.16,99.35,warning,congestion
2025-01-01T00:10:00+00:00,da-1,database,141.62,9.64,93.81,167.54,18.59,45.6,70.39,3.07,96.26,warning,congestion
2025-01-01T00:10:05+00:00,da-6,database,75.34,3.47,58.54,141.78,20.29,95.59,99.69,4.35,52.84,warning,device_overload
2025-01-01T00:10:10+00:00,cl-8,client,11.18,0.3,55.18,304.87,2.44,28.95,41.52,0.73,39.62,healthy,normal
2025-01-01T00:10:15+00:00,cl-4,client,19.16,1.29,20.25,254.26,2.22,50.97,43.23,0.36,37.87,healthy,normal
2025-01-01T00:10:20+00:00,ac-3,access_switch,99.66,5.98,99.09,684.45,24.02,89.81,53.0,3.21,98.22,warning,traffic_spike
2025-01-01T00:10:25+00:00,ac-2,access_switch,96.61,11.93,88.21,118.34,23.08,70.52,54.66,1.25,98.18,warning,congestion
2025-01-01T00:10:30+00:00,se-5,server,30.46,1.19,20.7,257.66,2.91,38.09,57.0,0.14,16.62,healthy,normal
2025-01-01T00:10:35+00:00,cl-1,client,264.08,90.83,6.45,2.9,97.22,0.39,2.15,59.75,2.97,offline,device_failure
2025-01-01T00:10:40+00:00,ro-3,router,26.94,0.6,48.53,164.91,1.39,48.11,45.96,0.35,44.21,healthy,normal
2025-01-01T00:10:45+00:00,ac-8,access_switch,16.87,0.92,50.62,329.7,1.84,21.11,27.26,0.16,52.1,healthy,normal
2025-01-01T00:10:50+00:00,cl-6,client,115.11,7.68,94.6,572.28,14.0,72.73,76.96,3.65,91.74,warning,traffic_spike
2025-01-01T00:10:55+00:00,co-2,core_switch,41.52,1.19,29.13,218.68,2.68,40.75,44.57,0.88,21.75,healthy,normal
2025-01-01T00:11:00+00:00,ro-5,router,90.83,7.74,93.74,631.29,16.19,85.25,54.76,1.93,90.74,warning,traffic_spike
2025-01-01T00:11:05+00:00,da-6,database,14.11,1.24,43.91,239.31,4.79,20.81,46.13,0.78,58.23,healthy,normal
2025-01-01T00:11:10+00:00,ac-3,access_switch,108.49,15.22,86.83,163.17,25.49,55.51,44.84,2.18,99.39,warning,congestion
2025-01-01T00:11:15+00:00,cl-5,client,29.66,0.14,48.13,240.2,3.82,22.7,51.48,0.81,32.56,healthy,normal
2025-01-01T00:11:20+00:00,ro-1,router,62.31,9.59,97.25,559.68,12.22,85.16,73.49,0.64,98.89,warning,traffic_spike
2025-01-01T00:11:25+00:00,cl-5,client,155.03,13.66,94.64,78.67,13.9,47.22,57.83,3.91,88.86,warning,congestion
2025-01-01T00:11:30+00:00,ac-6,access_switch,191.46,14.33,99.58,57.0,21.63,65.78,53.49,3.8,89.74,warning,congestion
2025-01-01T00:11:35+00:00,ro-1,router,19.29,0.58,46.92,164.62,5.3,22.19,38.41,0.52,31.26,healthy,normal
2025-01-01T00:11:40+00:00,se-8,server,329.63,80.64,0.51,22.69,60.33,63.5,35.11,35.88,0.91,offline,link_failure
2025-01-01T00:11:45+00:00,cl-8,client,19.14,0.01,23.05,139.47,2.18,31.46,41.74,0.04,17.66,healthy,normal
2025-01-01T00:11:50+00:00,ac-5,access_switch,95.66,10.05,95.99,76.36,37.72,70.17,46.28,6.85,91.51,warning,congestion
2025-01-01T00:11:55+00:00,ac-6,access_switch,406.49,77.57,11.2,12.0,32.72,26.17,40.65,41.32,8.23,offline,link_failure
2025-01-01T00:12:00+00:00,da-3,database,132.56,11.36,85.76,168.78,31.22,56.07,54.11,5.97,93.45,warning,congestion
2025-01-01T00:12:05+00:00,ac-8,access_switch,153.81,3.58,71.95,187.29,16.34,97.15,95.61,5.82,46.15,warning,device_overload
2025-01-01T00:12:10+00:00,cl-4,client,33.08,0.88,26.01,248.39,4.02,52.85,30.5,0.61,16.64,healthy,normal
2025-01-01T00:12:15+00:00,ro-4,router,56.7,4.51,89.82,768.35,16.21,91.25,84.98,4.43,97.36,warning,traffic_spike
2025-01-01T00:12:20+00:00,co-4,core_switch,27.95,1.5,40.48,192.9,5.77,35.68,47.46,0.49,50.15,healthy,normal
2025-01-01T00:12:25+00:00,cl-5,client,394.72,90.31,2.47,4.46,57.37,11.67,4.17,50.9,1.66,offline,device_failure
2025-01-01T00:12:30+00:00,ac-8,access_switch,100.11,7.54,76.82,91.92,8.95,95.47,90.08,7.86,80.19,warning,device_overload
2025-01-01T00:12:35+00:00,co-5,core_switch,58.79,9.64,88.95,882.76,21.12,90.42,58.13,4.23,92.71,warning,traffic_spike
2025-01-01T00:12:40+00:00,ac-3,access_switch,100.84,12.89,87.07,46.6,35.53,53.35,50.38,1.6,90.62,warning,congestion
2025-01-01T00:12:45+00:00,cl-3,client,10.17,0.83,61.67,199.52,5.66,54.53,45.01,0.18,65.12,healthy,normal
2025-01-01T00:12:50+00:00,cl-1,client,39.05,0.13,44.98,227.73,4.56,57.15,64.18,0.16,60.88,healthy,normal
2025-01-01T00:12:55+00:00,ro-7,router,35.21,0.28,53.2,301.9,2.31,16.69,37.13,0.54,63.28,healthy,normal
2025-01-01T00:13:00+00:00,se-8,server,38.46,0.2,41.7,170.02,5.01,29.88,56.17,0.58,52.37,healthy,normal
2025-01-01T00:13:05+00:00,ac-5,access_switch,28.17,1.14,26.25,298.35,5.46,52.21,46.67,0.08,49.8,healthy,normal
2025-01-01T00:13:10+00:00,co-8,core_switch,20.36,0.37,30.26,161.81,4.72,57.93,37.29,0.65,15.59,healthy,normal
2025-01-01T00:13:15+00:00,cl-4,client,67.14,1.83,57.27,109.73,15.04,98.53,95.26,3.18,50.05,warning,device_overload
2025-01-01T00:13:20+00:00,ac-6,access_switch,110.32,3.75,89.6,505.06,22.95,86.17,65.8,2.97,94.71,warning,traffic_spike
2025-01-01T00:13:25+00:00,cl-4,client,195.47,12.16,93.13,142.36,25.66,64.54,55.02,6.5,87.57,warning,congestion
2025-01-01T00:13:30+00:00,da-3,database,274.43,98.25,4.42,5.44,84.43,5.87,12.58,59.5,0.45,warning,device_failure
2025-01-01T00:13:35+00:00,se-8,server,28.05,0.84,49.62,177.8,0.91,26.45,24.13,0.2,18.8,healthy,normal
2025-01-01T00:13:40+00:00,cl-2,client,27.32,0.09,60.03,326.95,3.25,27.92,31.92,0.12,48.36,healthy,normal
2025-01-01T00:13:45+00:00,se-7,server,314.56,97.68,8.3,1.93,87.85,59.35,31.25,58.71,2.14,offline,link_failure
2025-01-01T00:13:50+00:00,se-3,server,120.51,3.78,88.04,441.14,13.97,88.2,70.69,2.89,98.23,warning,traffic_spike
2025-01-01T00:13:55+00:00,ac-3,access_switch,18.82,1.41,52.08,134.83,5.01,33.87,57.71,0.8,15.81,healthy,normal
2025-01-01T00:14:00+00:00,ro-1,router,24.29,1.01,58.99,163.84,1.03,34.75,47.75,0.68,55.36,healthy,normal
2025-01-01T00:14:05+00:00,ac-4,access_switch,36.11,1.1,32.99,241.54,4.3,29.43,37.28,0.13,49.33,healthy,normal
2025-01-01T00:14:10+00:00,ac-5,access_switch,11.95,1.42,59.35,310.55,4.06,34.22,45.81,0.88,63.96,healthy,normal
2025-01-01T00:14:15+00:00,da-6,database,140.08,3.86,57.0,79.82,15.61,89.37,87.61,7.0,51.21,warning,device_overload
2025-01-01T00:14:20+00:00,ro-7,router,40.97,0.84,24.3,163.43,1.86,44.1,64.58,0.76,19.81,healthy,normal
2025-01-01T00:14:25+00:00,co-7,core_switch,382.1,88.88,19.22,4.52,75.7,52.59,51.27,41.57,15.65,warning,link_failure
2025-01-01T00:14:30+00:00,ro-4,router,39.99,1.44,23.51,329.91,3.29,25.92,50.59,0.18,62.59,healthy,normal
2025-01-01T00:14:35+00:00,ac-7,access_switch,152.61,11.78,88.24,86.75,34.95,62.24,70.9,5.33,96.66,warning,congestion
2025-01-01T00:14:40+00:00,co-6,core_switch,20.01,0.07,58.61,273.08,0.88,39.9,49.7,0.65,30.35,healthy,normal
2025-01-01T00:14:45+00:00,co-7,core_switch,28.23,0.37,43.88,317.56,2.56,49.35,45.5,0.65,53.46,healthy,normal
2025-01-01T00:14:50+00:00,cl-6,client,15.42,1.08,40.95,311.72,3.62,43.88,26.58,0.03,59.03,healthy,normal
2025-01-01T00:14:55+00:00,cl-1,client,123.79,5.3,98.11,543.4,22.14,68.27,69.22,2.18,96.18,warning,traffic_spike
2025-01-01T00:15:00+00:00,da-8,database,135.82,1.11,66.29,110.53,7.27,96.11,92.57,3.01,66.6,warning,device_overload
2025-01-01T00:15:05+00:00,se-3,server,72.31,1.67,50.96,80.91,15.42,97.41,88.28,3.78,61.04,warning,device_overload
2025-01-01T00:15:10+00:00,da-4,database,41.69,0.34,50.15,296.53,4.2,53.62,57.42,0.08,34.72,healthy,normal
2025-01-01T00:15:15+00:00,ro-1,router,186.91,4.99,97.37,123.84,20.61,81.16,77.06,6.37,98.87,warning,congestion
2025-01-01T00:15:20+00:00,cl-8,client,18.68,1.39,50.17,171.68,3.62,44.61,31.89,0.77,15.81,healthy,normal
2025-01-01T00:15:25+00:00,co-7,core_switch,39.72,0.45,44.51,234.67,5.22,45.47,47.78,0.35,53.47,healthy,normal
2025-01-01T00:15:30+00:00,cl-6,client,196.11,84.24,18.45,8.17,76.14,62.97,43.65,54.81,0.53,offline,link_failure
2025-01-01T00:15:35+00:00,se-8,server,17.3,0.83,35.65,150.86,3.85,32.1,57.98,0.27,27.82,healthy,normal
2025-01-01T00:15:40+00:00,ac-3,access_switch,22.16,1.18,25.25,195.72,2.68,19.12,65.49,0.4,54.59,healthy,normal
2025-01-01T00:15:45+00:00,ro-3,router,23.79,0.84,42.08,132.72,1.27,39.94,50.26,0.71,59.91,healthy,normal
2025-01-01T00:15:50+00:00,se-7,server,34.93,1.09,44.3,328.4,2.06,38.45,54.15,0.15,28.98,healthy,normal
2025-01-01T00:15:55+00:00,co-2,core_switch,15.35,0.41,32.09,282.19,2.68,57.49,55.72,0.45,47.07,healthy,normal
2025-01-01T00:16:00+00:00,co-5,core_switch,10.22,0.59,57.56,193.58,5.28,34.81,42.95,0.74,48.85,healthy,normal
2025-01-01T00:16:05+00:00,ac-6,access_switch,172.47,12.34,91.14,63.09,22.35,56.81,68.46,4.8,99.55,warning,congestion
2025-01-01T00:16:10+00:00,ac-7,access_switch,289.5,98.1,4.4,23.93,40.8,54.54,26.27,52.72,16.97,offline,link_failure
2025-01-01T00:16:15+00:00,ac-2,access_switch,36.21,1.19,37.23,219.85,4.09,25.89,52.98,0.64,56.03,healthy,normal
2025-01-01T00:16:20+00:00,da-8,database,28.63,0.8,61.4,301.32,2.98,16.65,66.61,0.63,57.24,healthy,normal
2025-01-01T00:16:25+00:00,ro-2,router,196.5,11.89,89.04,124.11,13.15,81.39,66.39,3.4,96.54,warning,congestion
2025-01-01T00:16:30+00:00,se-2,server,55.95,4.07,94.13,684.21,19.61,85.26,66.94,2.26,97.72,warning,traffic_spike
2025-01-01T00:16:35+00:00,da-3,database,135.02,4.29,84.78,94.08,37.0,49.29,75.86,1.85,90.37,warning,congestion
2025-01-01T00:16:40+00:00,co-8,core_switch,21.15,0.15,51.93,209.54,1.15,17.01,55.27,0.02,32.84,healthy,normal
2025-01-01T00:16:45+00:00,co-4,core_switch,26.51,0.83,33.56,203.8,3.2,50.9,51.71,0.17,49.18,healthy,normal
